Project Title,Local Project Sponsor,Project Lead,County,Region,Grant Round,DWR Funding Amount,Total Cost (est. for contract),% Funds Not DWR
S.F. Estuary Steelhead Monitoring Program,ABAG/SFEP,Center for Ecosystem Mgt & Research (CEMAR),San Mateo,West,Prop 84 Round 1,"$378,166 ","$498,537 ",24%
CCCSD-Concord Recycled Water Pipeline,Central Contra Costa Sanitary Dist,Central Contra Costa Sanitary Dist,Contra Costa,East,Prop 84 Round 1,"$1,030,000 ","$4,230,000 ",76%
Calistoga Recycled Water Storage Facility,City of Calistoga,City of Calistoga,Napa,North,Prop 84 Round 3 (Drought),"$750,000 ","$1,156,156 ",35%
Hacienda Avenue Green Street Improvement Proj.,ABAG/SFEP,City of Campbell,Santa Clara,South,Prop 84 Round 1,"$2,000,000 ","$4,632,555 ",57%
Conservation Program,Solano County Water Agency,City of Napa,Napa,North,Prop 84 Round 1,"$330,000 ","$890,558 ",63%
Bay Area Regional Conservation Program,Solano County Water Agency,City of Napa,Napa,North,Prop 84 Round 2,"$127,500 ","$255,000 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,City of Napa,Napa,North,Prop 84 Round 3 (Drought),"$315,000 ","$543,570 ",42%
Oakland Sausal Creek Restoration Project,City of Oakland,City of Oakland,Alameda,East,Prop 84 Round 2,"$500,000 ","$2,876,500 ",83%
Mt. View / Moffett Area Recycled Water Project,City of Palo Alto,City of Palo Alto,Santa Clara,South,Prop 50,"$972,800 ","$21,421,971 ",95%
"Petaluma Flood Impact Reduction, Water & Habitat Quality, Recreation, Phase IV",City of Petaluma,City of Petaluma,Sonoma,North,Prop 84 Round 2,"$825,000 ","$1,100,000 ",25%
Redwood City Recycled Water Project,City of Redwood City,City of Redwood City,San Mateo,West,Prop 50,"$972,800 ","$4,087,000 ",76%
Redwood City Bayfront Canal Flood Management and Habitat Restoration Project,City of Redwood City,City of Redwood City,San Mateo,West,Prop 84 Round 2,"$1,135,000 ","$3,051,140 ",63%
San Jose Green Streets Demonstration Projects,City of San Jose,City of San Jose,Santa Clara,South,Prop 84 Round 2,"$2,000,000 ","$2,250,000 ",11%
"St Helena Upper York Creek Dam Removal--St. Helena, Napa River Watershed",City of St Helena,City of St Helena,Napa,North,Prop 84 Round 2,"$800,000 ","$5,605,985 ",86%
Restoration Guidance and San Francisquito Watershed Restoration,ABAG/SFEP,Committee for Green Foothills,San Mateo and Santa Clara,West and South,Prop 84 Round 1,"$230,000 ","$292,000 ",21%
CCWD-EBMUD Regional Intertie (VFDs),Contra Costa Water District,Contra Costa Water District,Alameda and Contra Costa,East,Prop 50,"$500,000 ","$2,416,780 ",79%
Conservation Program,Solano County Water Agency,Contra Costa Water District,Contra Costa,East,Prop 84 Round 1,"$822,000 ","$1,382,558 ",41%
San Pablo Rheem Creek Wetlands Restoration Project,Contra Costa Water District,Contra Costa Water District,Contra Costa,East,Prop 84 Round 2,"$750,000 ","$1,947,912 ",61%
Bay Area Regional Conservation Program,Solano County Water Agency,Contra Costa Water District,Contra Costa,East,Prop 84 Round 2,"$174,375 ","$348,750 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Contra Costa Water District,Contra Costa,East,Prop 84 Round 3 (Drought),"$500,000 ","$894,595 ",44%
DERWA Phase 3 Recycled Water Expansion Project,DERWA,DERWA,Alameda/Contra Costa,East,Prop 84 Round 3 (Drought),"$4,000,000 ","$10,022,662 ",
Central Dublin Recycled Water Distrib. & Retrofit Proj.,Dublin San Ramon Services District,Dublin San Ramon Services Dist,Alameda,East,Prop 84 Round 1,"$1,130,000 ","$4,587,000 ",75%
New Business Guidebook Pilot Program,East Bay Municipal Utility District,East Bay Municipal Utility District,Alameda and Contra Costa,East,Prop 50,"$75,000 ","$100,000 ",25%
Richmond Advanced Recycling Expansion Proj (MF Equip),East Bay Municipal Utility District,East Bay Municipal Utility District,Contra Costa,East,Prop 50,"$2,127,600 ","$3,905,678 ",46%
California WaterStar Initiative - Bay Area,East Bay Municipal Utility District,East Bay Municipal Utility District,,Regional,Prop 50,"$525,000 ","$817,000 ",36%
East Bayshore Phase 1A - Interstate 80 Pipeline,East Bay Municipal Utility District,East Bay Municipal Utility District,Alameda,East,Prop 84 Round 1,"$741,000 ","$2,152,000 ",66%
Conservation Program,Solano County Water Agencey,East Bay Municipal Utility District,Alameda and Contra Costa,East,Prop 84 Round 1,"$863,100 ","$1,423,658 ",39%
East Bayshore Recycled Water Project Phase 1A,East Bay Municipal Utility District,East Bay Municipal Utility District,Alameda,East,Prop 84 Round 2,"$1,000,000 ","$3,299,000 ",70%
Bay Area Regional Conservation Program,Solano County Water Agency,East Bay Municipal Utility District,Alameda and Co,East,Prop 84 Round 2,"$240,000 ","$480,000 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,East Bay Municipal Utility District,Alameda,East,Prop 84 Round 3 (Drought),"$535,000 ","$1,018,900 ",47%
Richmond Breuner Marsh Restoration and Public Access Project,East Bay Regional Park District,East Bay Regional Park District,Contra Costa,East,Prop 84 Round 2,"$750,000 ","$3,625,000 ",79%
"Novato South Service Area - Hamilton Field, Stage 1",Las Gallinas Valley Sanitation District,Las Gallinas Valley Sanitation Dist,Marin,North,Prop 84 Round 1,"$625,000 ","$14,342,111 ",96%
Water SMART Irrigation with AMI/AMR,Marin Municipal Water District,Marin Municipal Water District,Marin,North,Prop 84 Round 3 (Drought),"$975,000 ","$1,300,000 ",25%
Direct Installation High Efficiency Toilet Program,Marin Municipal Water District,Marin Municipal Water District,Marin,North,Prop 50,"$366,800 ","$525,510 ",30%
Conservation Program,Solano County Water Agency,Marin Municipal Water District,Marin,North,Prop 84 Round 1,"$862,500 ","$1,423,058 ",39%
Lagunitas Creek Watershed Sediment Reduction and Management Project,Marin Municipal Water District,Marin Municipal Water District,Marin,North,Prop 84 Round 2,"$720,000 ","$960,000 ",25%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Marin Municipal Water District,Marin,North,Prop 84 Round 3 (Drought),"$338,000 ","$644,724 ",48%
Marin/Sonoma Conserving Our Watersheds,Marin RCD,Marin RCD,Marin and Sonoma,North,Prop 84 Round 2,"$600,000 ","$820,000 ",27%
Groundwater Exploration Project,Montara Water & Sanitary District,Montara Water & Sanitary District,San Mateo,West,Prop 50,"$37,100 ","$48,000 ",23%
Conservation Program / Napa County Rainwater Harvesting Pilot Project,Solano County Water Agency,Napa Co. RCD,Napa,North,Prop 84 Round 1,"$250,000 ","$328,335 ",24%
Napa Milliken Creek Flood Damage Reduction and Fish Passage Barrier Removal,Napa County,Napa County,Napa,North,Prop 84 Round 2,"$500,000 ","$1,418,540 ",65%
"Napa State Hospital Pipeline Construction, Stage 1",Napa Sanitation District,Napa Sanitation District,Napa,North,Prop 84 Round 1,"$625,000 ","$3,057,000 ",80%
Los Carneros Water District and Milliken-Sarco-Tulocay Recycled Water Pipelines,Napa Sanitation District,Napa Sanitation District,Napa,North,Prop 84 Round 3 (Drought),"$4,000,000 ","$32,893,886 ",88%
Pacifica Recycled Water Project,North Coast Water District,North Coast Water District,San Mateo,West,Prop 50,"$744,400 ","$10,005,859 ",93%
North Marin Recycled Water Project,North Marin Water District,North Marin Water District,Marin,North,Prop 50,"$244,550 ","$5,042,890 ",95%
Novato North Service Area Project,Novato Sanitary District,Novato Sanitary District,Marin,North,Prop 84 Round 1,"$625,000 ","$11,392,000 ",95%
"San Francisco Bay Climate Change Pilot Projects\nCombining Ecosystem Adaptation, Flood Risk\nManagement and Wastewater Effluent Polishing",ABAG/SFEP,Oro Loma/EBDA,Alameda,East,Prop 84 Round 2,"$2,100,000 ","$5,365,125 ",61%
Stream Restoration w/ Schools in North Bay DACs,ABAG/SFEP,Point Blue,Marin,North,Prop 84 Round 1,"$199,976 ","$264,976 ",25%
The Students and Teachers Restoring A Watershed (STRAW) Project,Point Blue,Point Blue,Marin +,North,Prop 84 Round 2,"$500,000 ","$625,000 ",20%
Roseview Heights Mutual Water Tanks & Main upgrades,Roseview Heights Municipal Water Agency,Roseview Heights Municipal Water Agency,Santa Clara,South,Prop 84 Round 2,"$500,000 ","$1,125,500 ",56%
Flood Infrastructure Mapping & Communication Tool,ABAG/SFEP,S.F. Estuary Institute,,Regional,Prop 84 Round 1,"$655,000 ","$840,000 ",22%
San Francisco International Airport Industrial Waste Treatment Plant and Reclaimed Water Facility,San Francisco Airport,San Francisco Airport,San Francisco,West,Prop 84 Round 2,"$750,000 ","$6,035,847 ",88%
Harding Park Recycled Water Project,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Francisco,West,Prop 84 Round 1,"$2,114,000 ","$7,436,000 ",72%
Bay Area Regional Conservation Program,Solano County Water Agency,San Francisco Public Utilities Commission,San Francisco,West,Prop 84 Round 2,"$234,300 ","$468,600 ",50%
Regional Groundwater Storage and Recovery Project,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Mateo,West,Prop 84 Round 2,"$1,400,000 ","$3,452,261 ",59%
Lower Cherry Aqueduct Emergency Rehabilitation Project,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,SanFrancisco/SanMateo,West,Prop 84 Round 3 (Drought),"$3,000,000 ","$18,102,790 ",83%
Conservation Program,Solano County Water Agency,San Francisco Public Utilities Commission,San Francisco,West,Prop 84 Round 1,"$863,100 ","$1,423,658 ",39%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,San Francisco Public Utilities Commission,San Francisco,West,Prop 84 Round 3 (Drought),"$535,000 ","$973,968 ",45%
Pescadero Integrated Flood Reduction & Habitat Enhancement Project,ABAG/SFEP,San Mateo Co. RCD,San Mateo,West,Prop 84 Round 1,"$219,310 ","$256,090 ",14%
Pescadero Water Supply and Sustainability Project,San Mateo County,San Mateo County,San Mateo,West,Prop 84 Round 2,"$700,000 ","$825,000 ",15%
Drought Relief for South Coast San Mateo County,San Mateo Resources Conservation District,San Mateo Resources Conservation District,San Mateo,West,Prop 84 Round 3 (Drought),"$3,872,000 ","$4,895,667 ",21%
"South Bay Advanced RW Treatment, Reverse Osmosis",Santa Clara Valley Water District,Santa Clara Valley Water District,Santa Clara,South,Prop 84 Round 1,"$2,485,000 ","$7,676,700 ",68%
Conservation Program,Solano County Water Agency,Santa Clara Valley Water District,Santa Clara,South,Prop 84 Round 1,"$860,625 ","$1,421,183 ",39%
Bay Area Regional Conservation Program,Solano County Water Agency,Santa Clara Valley Water District,Santa Clara,South,Prop 84 Round 2,"$490,312 ","$980,624 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Santa Clara Valley Water District,Santa Clara,South,Prop 84 Round 3 (Drought),"$1,000,000 ","$1,890,474 ",47%
South Bay Advanced Recycled Water Trt Proj,Santa Clara Valley Water District,Santa Clara Valley Water District -City of San Jose,Santa Clara,South,Prop 50,"$2,934,600 ","$4,048,000 ",28%
Sunnyvale Continuous Recycled Water Production,Santa Clara Valley,Santa Clara Valley Water District /,Santa Clara,South,Prop 84 Round 3 (Drought),"$4,000,000 ","$20,728,910 ",81%
Facilities and Wolfe Road Pipeline,Water District / City of Sunnyvale,City of Sunnyvale,,,,,,
Conservation Program,Solano County Water Agency,Solano County Water Agency,Solano,North,Prop 84 Round 1,"$691,875 ","$1,252,433 ",45%
Conservation Program Admin,Solano County Water Agency,Solano County Water Agency,,Regional,Prop 84 Round 1,"$321,000 ","$322,785 ",1%
Bay Area Regional Conservation Program,Solano County Water Agency,Solano County Water Agency,Solano,North,Prop 84 Round 2,"$129,377 ","$258,754 ",50%
Bay Area Regional Conservation Program Admin,Solano County Water Agency,Solano County Water Agency,,Regional,Prop 84 Round 2,"$150,000 ","$158,168 ",5%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Solano County Water Agency,Solano,North,Prop 84 Round 3 (Drought),"$535,000 ","$950,083 ",44%
Conservation Program,Solano County Water Agency,Sonoma County Water Agency,Sonoma,North,Prop 84 Round 1,"$765,000 ","$1,325,558 ",42%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Sonoma County Water Agency,Sonoma,North,Prop 84 Round 3 (Drought),"$535,000 ","$1,015,508 ",47%
Bay Area Regional Conservation Program,Solano County Water Agency,Sonoma Resource Conservation District,Sonoma,North,Prop 84 Round 2,"$202,500 ","$405,000 ",50%
Bay Area Regional Conservation Program,Solano County Water Agency,Sonoma Resource Conservation District,Sonoma,North,Prop 84 Round 2,"$195,000 ","$390,000 ",50%
Napa Marsh Restoration / Recycled Water Project,Sonoma Valley Co Sanitation Dist,Sonoma Valley Co Sanitation Dist,Sonoma,North,Prop 50,"$366,800 ","$20,459,638 ",98%
"Sonoma Valley Recycled Water Project, Stage 1",Sonoma Valley Co Sanitation Dist,Sonoma Valley Co Sanitation Dist,Sonoma,North,Prop 84 Round 1,"$625,000 ","$5,000,000 ",88%
North Bay Water Reuse Program -- Sonoma Valley Recycled Water Project - Phase 2,Sonoma Valley Co Sanitation Dist,Sonoma Valley Co Sanitation Dist,Sonoma,North,Prop 84 Round 2,"$1,020,000 ","$2,560,490 ",60%
Bair Island Restoration,State Coastal Conservancy,State Coastal Conservancy,San Mateo,West,Prop 84 Round 1,"$1,265,000 ","$2,982,180 ",58%
South Bay Salt Pond 16A/17 Habitat Restoration,State Coastal Conservancy,State Coastal Conservancy,Santa Clara,South,Prop 84 Round 1,"$1,265,000 ","$7,549,918 ",83%
Sears Point Wetland and Watershed Restoration,State Coastal Conservancy,State Coastal Conservancy,Sonoma,North,Prop 84 Round 1,"$1,265,000 ","$17,080,121 ",93%
Stinson Beach Water Supply & Drought Preparedness Plan,Stinson Beach Water District,Stinson Beach Water District,Marin,North,Prop 84 Round 3 (Drought),"$937,452 ","$1,249,952 ",25%
Bay Area Regional Drought Relief and Water Conservation Project Admin,Stopwaste.org,Stopwaste.org,,Regional,Prop 84 Round 3 (Drought),"$330,971 ","$365,971 ",10%
Richmond Shoreline & San Pablo Flood Project,ABAG/SFEP,Urban Tilth,Contra Costa,East,Prop 84 Round 1,"$85,000 ","$219,989 ",61%
Storm Water Improvements & Pilot Project at Bay Pt.,ABAG/SFEP,Watershed Project,Contra Costa,East,Prop 84 Round 1,"$160,000 ","$163,000 ",2%
Bay Area Regional Conservation Program,Solano County Water Agency,Zone 7 Water Agency,Alameda,East,Prop 84 Round 2,"$188,193 ","$376,386 ",50%
Mocho Basin GW Demineralization Project,Zone 7 Water Agency,Zone 7 Water Agency,Alameda,East,Prop 50,"$740,000 ","$33,115,419 ",98%
Conservation Program,Solano County Water Agency,Zone 7 Water Agency,Alameda,East,Prop 84 Round 1,"$756,750 ","$1,317,308 ",43%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Zone 7 Water Agency,Alameda,East,Prop 84 Round 3 (Drought),"$300,000 ","$582,112 ",48%
Zone 7 Water Supply Drought Preparedness Project,Zone 7 Water Agency,Zone 7 Water Agency,Alameda,East,Prop 84 Round 3 (Drought),"$3,000,000 ","$7,290,000 ",59%
