"Title","Abstract","Counties","Location (lat/long)","Start Date","End Date","Location Description","Project Type Description","Detailed Description","Project Need","Critical Impacts","Benefits","Sponsor Agency","Drinking Water Supply","Water Quality Improvement","Water Reuse/Recycling","Stormwater Improvements","Groundwater Benefits","Infiltration","Habitat Protection and Restoration","Flood Protection"
"upper guadalupe river project early implementation reaches (reach 6 and 12 downtown and north san jose) ","these early implementation reaches of the upper guadalupe river project will provide 1-percent flood protection reduce bank erosion and sediment-related impacts provide/improve long-term riparian habitat improvements and improve water supply reliability by combining flood protection elements with groundwater percolation and storage elements along the upper guadalupe river. early implementation reaches include construction on reach 6 - between interstate 280 and union pacific railroad bridge crossing near willow street in the quaint willow glen district and reach 12 - between branham lane and blossom hill road. "," "," "," "," ","city of san jose "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"upper guadalupe river project reach 6 highway 280 to union pacific rr ","this project will provide 1-percent flood protection reduce bank erosion and sediment-related impacts and provide long-term riparian habitat improvements along the upper guadalupe river between interstate 280 and union pacific (formerly southern pacific) railroad bridge crossing near willow street. "," "," "," "," ","guadalupe river interstate 280 union pacific railroad bridge crossing willow street. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"urban creek trash reduction program ","funding is sought to develop and implement an urban trash management program for creeks and flood control channels. reduction of trash in urban waterways provides for improved water quality flood flow conveyance ecosystem function and aesthetics. the progam would be proactive in addressing potential tmdls related to trash loading in creeks. the program would focus on identifying and removing sources of trash as well as on conducting regular abatement activities. community education components of the program would emphasize source reduction and develop an ethic of stewardship toward waterway function and health. effectiveness of program activities would be evaluated using the newly revised urban rapid trash assessment protocol developed by the santa clara valley urban runoff pollution prevention program. see the detailed project description for specific program elements. "," "," "," "," ","santa clara valley "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"sky valley/sulfur springs watershed management plan ","the city of benicia seeks assistance in designing an outreach approach to ensure citizen participation in the development of a watershed management plan. meeting facilitation expertise will be a valuable component in this effort. the city also seeks assistance in identifying issues and areas of interest to be addressed in the plan and in the establishment of project goals and objections. the outcome of any assistance would be a project work plan for the development of a watershed management plan. "," "," "," "," ","sky valley sulfur springs "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"south san francisco bay shoreline study: alviso ponds and santa clara county ","the south san francisco bay shoreline study (shoreline study) is a congressionally-authorized study being performed by the us army corps of engineers (corps) together with local sponsors the santa clara valley water district (scvwd) and the california state coastal conservancy (conservancy) to identify and recommend for federal funding one or more projects for flood damage reduction ecosystem restoration and related purposes such as public access. the u.s. fish and wildlife service and other land-owning agencies within the project area will also be involved in the planning process. the first of several interim feasibility studies that will comprise the shoreline study will investigate flood protection for all of santa clara county's and southern alameda county's baylands from palo alto to southern fremont in addition to the restoration of former salt production ponds within the alviso pond complex and adjacent properties such as areas around moffett field. "," "," "," "," ","santa clara county southern alameda county palo alto fremont alviso pond moffett field. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"steelhead habitat enhancement project ","the project modifies three of stanford's water diversion facilities: los trancos creek diversion facility and fish ladder san francisquito creek pump station and felt reservoir. the modifications will provide more bypass flow during low creek flow periods enhancing steelhead passage and habitat conditions. the modifications will enable stanford to divert water more efficiently during high creek flow periods thus preserving this important water supply. in addition the facilities' fish screens and the fish ladder at the los trancos diversion facility will be modernized providing better steelhead protection and enhanced steelhead passage conditions over a broader range of creek flow conditions. the felt reservoir portion of the project consists of restoring its storage capacity in order to store the winter high flow periods' diversions reducing the need for spring low flow period diversions when steelhead may be sensitive to creek flows. wetlands impacts from the project are being mitigated in a newly created wetlands area adjacent to san francisquito creek. "," "," "," "," ","los trancos creek diversion facility and fish ladder san francisquito creek pump station felt reservoir "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"storm drain system maintenance equipment ","the city is dire need of equipment to maintain its stormdrain system. the city needs a vacuum truck with an attached camera which is capable of photographing the interior of the pipes a camera for the city's only vacuum truck a flusher head to remove debris and accumulated silt from the pipes or a cable system for cleaning the stormdrains. "," "," "," "," ","city of east palo alto "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"streambank stabilization using bio-engineering ","funding is sought to demonstrate and improve use of bio-engineering techniques on eroding sections of pescadero creek tunitas creek purisima creek and lobitos creek located in unincorporated san mateo county. the target eroding creek banks are located adjacent to county-maintained roads and within county rights-of-way. these creeks are designated as critical habitat for steelhead trout by the national marine fisheries service. grant funds will be used to train engineering staff and road crews design site-specific bioengineered projects permitting construction and monitoring. "," "," "," "," ","pescadero creek tunitas creek purisima creek lobitos creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"sugarloaf ridge state park erosion control: goodspeed trail rehabiltation ","this project will improve upgrade and re-route approximately 2 miles of trail where severe environmental damage is occurring in the form of slope instability and massive landslides accelerated erosion creek sedimentation and deep trail down cutting. this work will serve both the purpose of providing sustainable and environmentally friendly trails along with enhancing public access in a prime natural area that experiences very heavy public visitation. "," "," "," "," ","sugarloaf ridge state park "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"pollutant characterization of colma creek ","for the past 10 years the city of south san francisco has collected samples of colma creek at eight consistent sampling points once per week. the sampling points begin at the entrance of colma creek into the city's northwestern limit and follow along the creek to it's exit into san francisco bay at the water quality control plant. included in the sample points are two background samples taken at the oyster point marina and the windsurfing ramp at oyster point.these samples are analyzed for fecal coliform and bod only. the intent of the proposed project is to expand the pollutant characterization of colma creek weekly sampling to include polynuclear aromatic hydrocarbons (pahs) chlorinated hydocarbons volatile organic compounds and ten metals (cadmium chromium copper nickel lead zinc arsenic silver and selinium). sampling events and data collection would take place bimonthly for one year. in addition visual inspection and description of sample sites at creek locations would be noted . "," "," "," "," ","city of south san francisco colma creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"projects to reduce and control copper in stormwater discharges ","to address water quality impairment from nonpoint sources of copper as identified in the san francisco bay rwqcb's water quality attainment strategy (wqas) this regional project would investigate and implement options to reduce copper discharges in stormwater. a wqas for copper has been developed for the lower san francisco bay and the rwqcb is currently developing a similar wqas for the rest of the bay. it was determined that the present concentration of copper in the environment including loading rates are currently below impairment thresholds. maintaining the water quality objectives for copper is regulated via updates to and enforcement of npdes permit requirements. consequently stormwater dischargers are responsible for managaging copper concentrations in the bay. primary sources of copper discharges originate from deposition of air emissions soil erosion vehicle brake pads architectural uses and pesticide applications. to control copper in stormwater discharges to the bay regional projects will study measures to manage washwater from cleaning and treatment of architectural copper develop bmps for use of copper-containing wood preservatives develop control measures for pool spa and fountain algaecides and restrict the use of aquatic pesticidies including copper-containing algaecides. "," "," "," "," ","san francisco bay area "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"rain gauge and creek level / flow monitoring (san mateo) ","funding is sought to install or repair existing rain gauges; install creek flow monitors; install web-cams at key locations to aid in emergency response and provide a method to electronically record and distribute gathered information. priority sites for recommissioned gauges will be at locations where long-term gauges have been removed over the last 20 years including la honda pescadero princeton el granada and scarper's peak. new gauges will be installed at locations where historic coverage is sparse. locations that would benefit from additional coverage include half moon bay area southern san mateo coastside hills (near butano park) and eastside hills above san carlos. exact locations for placement of new gauges and web-cams require further study. "," "," "," "," ","la honda pescadero princeton el granada scarper's peak county of san mateo "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"san francisquito creek flood damage reduction & ecosystem restoration project ","this is a joint project between the san francisco district army corps of engineers and sfc jpa to conduct a watershed wide flood damage reduction and ecosystem restoration project. the project will address both creek and tidal flood prone areas ultimately protecting over 10000 parcels (business/homes) from the 1% or 100 year flood. a general investigation project has been authorized by congress (2002); a reconaissance phase done resulting in positive finding of federal interest (2005); and the feasibility cost share agreement between corps and jpa signed nov 2005 ($7.5mill). feasibility phase began december 2005 will be a 4 to 5 year process investigating alternative solutions ending with a \"community preferred plan\". design & construction phases will follow. the creek has historically flooded every 10years; the flood of record in 1998 caused over $30mill in documented local damages. the 45 sq mile watershed is home to several listed threatened & endangered species including steelhead trout; has a dam at the center that is filled with sediment; and deposites into the sfbay in east palo alto. the jpa represents 3 cities and 2 counties as a multi-jurisdictional cooperative effort acting as the \"local sponsor\" to the federal project. "," "," "," "," ","san francisquito creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"rodeo creek watershed plan ","develop a watershed management plan for the rodeo creek watershed. plan design and construct sediment control facilities creek stabilization and habitat restoration. "," "," "," "," ","rodeo creek contra costa county "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"regional bmps field manual and training for stream maintenance activities ","the purpose of this project is to create an integrated set of regional best management practices (bmps) a standarized field manual and consistent training for stream maintenance activities. regionally consistent materials will help maintain flood capacity while also contributing to habitat protection and water quality. "," "," "," "," ","bay area "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"regional biosolids project ","the project goals include:1) developing a publicly supportable regional biosolids recycling and management program that provides economical diversified reliable and sustainable options that benefit communities and the environment.2) locating the facility in the nine-county san francisco bay area.3) creating a product or products that can be used within the nine-county bay area as well as distributed to a broader market. "," "," "," "," ","san francisco bay area "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"richmond bayshore stewards ","the watershed project is working with uc berkeley and other partners to restore west stege marsh and the adjacent upland prairie habitat and to provide educational and community involvement opportunities related to the restoration. this project is located at the richmond field station a satellite campus of uc. the 152-acre field station on the san francisco bay in richmond includes approximately 72 acres of marsh and mudflat and 23 acres of upland terrace prairie habitats. these habitats provide refuge for the federally endangered california clapper rail (rallus longirostris obsoletus) various species of migratory water birds and more than 62 native plant species. due to industrial contamination the university is currently engaged in remediation work within the marsh and coastal prairie at the rfs. the contaminated sediments are being removed in phases and the watershed project is engaged in revegetation and invasive non-native plant control in the remediated areas and additional coastal prairie. active restoration is underway for approximately 5 acres of stege marsh and 1 acre of adjacent wet meadow and coastal prairie. the project has a large educational and community outreach component providing educational field trips and service learning opportunities for local students and adults. "," "," "," "," ","richmond field station san francisco bay richmond "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"watershed monitoring & assessment program (wmap) ","the watershed monitoring and assessment program (wmap) is a unique initiative among water agencies to efficiently and effectively use environmental data to inform planning and stream stewardship activities. this multi-objective planning effort uses a watershed approach and an adaptive management framework that focuses on the district's priority environmental resource management interests within santa clara county. the wmap includes the establishment of the following 4 tiers: (1) periodic reports on the status and trends of stream ecosystem health on a watershed basis in santa clara county; (2)an integrated environmental information management system to provide easy access to district data by district staff and the public; (3) an environmental data quality system to provide monitoring data of known and documented quality; and (4) a programmatic strategy that ensures the cost-effective collection and use of monitoring data. "," "," "," "," ","santa clara county "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"alhambra creek restoration and environmental education collaborative (acreec): john swett campus ","this project builds on the acreec (alhambra creek restoration and environmental education collaborative) groups previous achievements by instituting a similar program at another school campus located within the martinez unified school district that is in need of restoration john swett elementary school. "," "," "," "," "," "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"annadel state park erosion control: geary ranch road to trail conversion ","this project will restore approximately two miles of extremely steep degraded fire road where severe environmental damage is occurring in the form of accelerated erosion creek sedimentation and deep down cutting and replace it with a properly designed trail. this work will serve both the purpose of providing sustainable environmentally-friendly trails along with enhancing public access in a prime natural area that experiences very heavy public visitation. the main project partner the sonoma ecology center will deliver pre-treatment sedimentation evaluation and monitor project improvements through water-quality assessment photomonitoring and geomorphic evaluation. state parks will conduct and oversee much of the actual construction with cooperation and assistance from the sonoma county trails council and the bay area ridge trail council. "," "," "," "," ","annadel state park sonoma county "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"creekwise creek care education program for creekside property owners ","funding is sought to develop and deploy an education and assistance program for creekside landowners covering such topics as proper creek care erosion prevention techniques planting guide pollution prevention and suggestions for working as a community to address creekside issues. assistance services include offerring general advice referral to pre-approved private engineers landscape architects and contractors and permitting assistance. the proposed program also will offer information and activities directed at people who do not own creekside parcels.these might include elementary and school programs and other community education activities. the pupose of these programs is to remind community members that their activities can affect creek health even if the creek cannot be seen. "," "," "," "," ","san mateo county santa clara county contra costa county "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"bay area levee certification ","all levees in the bay area whether protecting from tidal or riverine flooding must be certified that they meet fema standards. as fema converts its paper floodplain maps to digital format (in 2006 and beyond) the federal agency has required that all levees providing flood protection must be documented as certified or else the areas they protect will be mapped back into the fema-regulated 1% floodplain. areas that have never been regulated as part of the fema 1% flood area are subject to floodplain regulations and mandatory insurance purchase requirements unless the protective levees can be certified and documented according to fema standards prior to the release of the updated digital flood insurance rate maps (dfirms). this project will inventory levees and collect documentation to fema standards and certify levees and/or scope the process of certification for those levees that have not been previously certified to fema standards. the project will also scope the level of effort required to improve levees to meet fema standards for those levees that might require physical/geotechnical improvements. "," "," "," "," ","santa clara valley "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"burlingame / ralston creek restoration project ","burlingame / ralston creek restoration project. "," "," "," "," ","city of burlingame. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"candlestick point state recreation area yosemite slough restoration project ","the proposed project would increase the existing tidally influenced area from nine acres to over 20 acres create two isolated bird nesting islands (including one designed specifically for special status species) provide nursery areas for fish and benthic organisms transitional and upland areas to buffer sensitive habitats more than 5000 feet of new interpretative trails with five vista points 2.5 acres of passive public use areas an approximate 1200 square foot multi-use interpretive center with restroom facilities new access to the restored area and additional amenities including parking fencing lighting benches and drinking water fountains. the restoration design which would include re-vegetation would also address soil contaminant issues arising from previous fill activities that could affect human and wildlife health. in early-2006 we expect to receive the final permits from the army corps of engineers the san francisco bay regional water quality control board and the san francisco bay conservation and development commission approving the final project design. although the restoration of yosemite slough could occur in one phase over the course of 24 months we have broken it down into three sectionsthe south area northeast area and northwest areathat can be restored simultaneously or one-by-one in 12-24 month phases depending on the availability of funding. restoration efforts are planned to begin in the fall of 2006. "," "," "," "," ","candlestick point yosemite slough south san francisco bay "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"chimes creek watershed rehabilitation ","restoration and rehabilitation of the chimes creek watershed: chimes creek is a natural urban creek situated below interstate 580 in central east oakland. the creek originates in the hills above i-580 and is culverted for most of its run with the exception of a 2500 stretch through the millsmont neighborhood. additional runoff created by the construction of new housing along the leona ridgetop combined with the el nio storms of 1981-1982 caused significant erosion along chimes creek. in the early 1990's the city of oakland partnered with the alameda county flood control district to mitigate the erosion in a joint project that covered the downstream half of chimes creek below nairobi place. this project addresses the upstream half of chimes creek above nairobi place where recent grading and construction activities at the leona quarry housing development has accelerated the ongoing erosion. this ongoing erosion has greatly impacted creekside residents. in addtion these severe erosion impacts have contributed bed and bank materials combined with toxins and other pollutants from upstream development to the downstream watershed. the downstream watershed is made up of low-income and communities of color with the creek running through a public housing complex. "," "," "," "," ","city of oakland. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"community stormwater management - sunnydale watershed ","this project will develop a community-based stormwater management plan for the sunnydale watershed an urban watershed that falls under multiple jurisdictions but whose stormwater and wastewater is treated by the sfpuc. this watershed contains significant industrial sites and brownfields including a 750-acre site along the shoreline that is undergoing a redevelopment planning process in brisbane as well as a smaller site in the san francisco portion of the watershed that is undergoing a community-based planning process. additionally the stormwater flows from this watershed contribute to combined sewage overflows along the bay. this stormwater management program will develop a toolbox of low-impact development techniques that can be incorporated into both existing and new developments to improve watershed water quality and also act as part of a larger watershed restoration program that provides open space to the community. in addition local youth will be trained to help evaluate and test techniques after implementation. results and lessons learned can be used to apply to similar projects in other bay area watersheds. "," "," "," "," ","city of san francisco "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"corona road - denman reach flood wall ","this project is located on the west bank of the petaluma river outside the city limits of petaluma. the project includes the installation of a 4-foot flood wall along approximately 1500 feet of the petaluma rivers west bank from the corona road bridge northwestward. this project is designed to retain the 8000-cfs flow anticipated from a 100-year frequency storm with the petaluma watershed developed to general plan densities. "," "," "," "," ","city of petaluma "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"corte madera creek watershed models ","funding for three phases of modeling is requested. first we propose to develop a watershed model (hms) that relates measured rainfall to flow in corte madera creek and its tributaries. second we would develop a steady-flow hydraulic model (hec-ras) of the creek. thirdly we would enhance the steady-flow model to include unsteady flow and add a water quality (initially temperature) model. "," "," "," "," ","marin county corte madera creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"countywide fish passage improvement ","in the fight to save salmonids barriers to fish passage are an important issue. in santa clara county over 350 sites have been investigated to evaluate fish passage in the san francisquito creek stevens creek guadalupe river and coyote creek watersheds. about 20% of these sites need action to improve fish passage or should be monitored to observe whether the situation deteriorates. through a number of programs the scvwd is remediating many of the fish passage barriers that they own. but the fish passage barriers are owned by a broad range of agencies or owners who may or may not have interest or resources to remediate them. this project would identify barriers to fish passage in all of the county's streams known to support steelhead and evaluate which sites created the most serious impediments. based on the priority list partnerships would be pursued to address the most serious fish passage issues no matter who owned them. a system would be established to inspect the improved sites pursue needed maintenance and evaluate which methodologies functioned best. "," "," "," "," ","santa clara county san francisquito creek stevens creek guadalupe river coyote creek watersheds "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"defining summer low flow channels in engineered streams ","the overall goal of this project is to reduce sediment delivery and facilitate sediment movement in engineered stream reaches to be determined by this project. possible candidates that have active watershed-based approaches and are familiar to irwmp are corte madera creek lagunitas creek guadalupe river and alameda creek. sediment management will be accomplished by improving and / or removing flood control structures and stabilizing stream banks and creating / restoring thalwegs. these multiple efforts will improve summer habitat for the nationally threatened steelhead. "," "," "," "," ","corte madera creek lagunitas creek guadalupe river alameda creek. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"developing and evaluating options for mitigating risks of public health impacts of eating fish ","the risk reduction work team will recruit convene and oversee a multidisciplinary panel to: (1) identify and evaluate methods to better distinguish and characterize at-risk populations for the purpose of targeting risk-reduction and impact-mitigation efforts;(2) develop and assess of a range potential actions to evaluate address and reduce health risks and health impacts associated with consumption of bay fish; (3) identify options that will (a) have an impact in both the short and long term and (b) can be integrated into institutions so as to ensure long-term implementation.it is anticipated that the panel will meet twice. the focus and deliverables of each step are described below. the results of this panel will then serve as the basis for selecting a package of pilot actions to be funded and implemented by the cep and other relevant agencies and dischargers. "," "," "," "," "," "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"easton creek restoration project ","repair eroded channel stabilize banks and levees remove sedimentation improve channel conveyance capacity upgrade the marsten pump station and outfall pipeline control invasive plant species and improve benefits to creek eco system. "," "," "," "," ","city of burlingame. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"fish passage improvements ","a county-wide fish passage assessment conducted by ross taylor & associates in 2004 identified 15 stream crossings in unincorporated san mateo county that present fish passage barriers to high quality habitat. funding is sought to treat these barriers according to guidelines in the california department of fish & game california salmonid stream habitat restoration manual. treatment includes design permitting and construction.design is well-underway for two of the high-priority barriers identified in the taylor (2004) report: alpine creek and mcgarvey gulch. permitting for these two projects is also underway. "," "," "," "," ","san mateo county. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"fisheries and aquatic habitat collaborative effort ","this plan was derived through a multi-year science based collaborative effort between: the california department of fish & game noaa fisheries san francisco regional water quality control board city of san jose guadalupe-coyote resource conservation district trout unlimited the pacific coast federation of fisherman's association the audubon society and the santa clara watershed management initiative. "," "," "," "," ","stevens creek coyote creek guadalupe river watersheds. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"emergency preparedness for widespread and/or tidal flooding ","this project would provide for coordination of emergency response among multiple agencies in the event of widespread valley and/or tidal flooding. planning would follow femas multi-hazard mitigation planning guidance (disaster mitigation act of 2000) and guidance from the state office of emergency services and would incorporate lessons learned from the response to hurricane katrina as those lessons are documented in the results of forthcoming investigations. the project would include developing mutual aid agreements between agencies and web-accessible directories of transferable services. a regional flood hazard mitigation plan would be developed to fold into the existing abag multi-hazard regional plan. "," "," "," "," "," "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"guadalupe river adaptive management ","the adaptive management team (amt) makes recommendations to santa clara valley water district based on the annual mitigation monitoring report prepared for the guadalupe river (downtown) and guadalupe creek restoration projects. if santa clara valley water district agrees with particular recommendations projects to ensure that habitat (e.g. fisheries riparian vegetation sra vegetation etc.) is performing as intended would be undertaken by santa clara valley water district. the types of projects (if needed) will vary but focus on any emerging habitat water quality and erosion/sedimentation issues. "," "," "," "," ","guadalupe river "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"guadalupe watershed modeling towards mercury management to achieve tmdl goals ","the purpose of the project is to compile extensive existing data and provide a comprehensive analysis of channel mercury (hg) load response to various proposed management scenarios in order to determine the most cost effective method for achieving guadalupe river tmdl hg load reduction goals. if such modeling is not completed there is a greater risk that expenditure of public funds will not result in desirable load reductions or that expectations for a trend in the system in response to management may be unrealistic leading to disappointment and perhaps discontinuation of management activities that are in fact beneficial. this project will:1. develop a comprehensive water quality model based on a calibrated and verified hydrologic model using the basins/hspf (v. 3) modeling suite recommended by the epa.2. use this model to test combinations of feasible management scenarios to assist stakeholders in the prioritization of activities and the level of effort required to meet the 10 and 20 year load reduction targets. specific questions include:q1. what influence will the various management options (sediment dredging channel modifications reservoir management hot-spot removal in tributaries and mining areas) have on concentrations and loads? q2. what the differing influences on grainsize and quality are of suspended and bed sediment?q3. how long will it take to see a trend and will this trend be sufficient to meet the proposed 10 year loading target (11 kg/y) and the 20 year loading target (7 kg/y)?3. provide a completed watershed module ready for inclusion into future modeling of the south bay salt pond restoration project areas (e.g. pont a8). note the proposed modeling component will not model processes in the tidal portions of alviso slough or within restoration ponds. "," "," "," "," ","guadalupe river watershed "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"ledgewood creek flood management ","construct multi-use flood control detention basins that allow continued use of detention basin land for agriculture to prevent flooding of adjacent land and interstate 80. flooding in this area flooded interstate 80 in 1997 and 2005. solano county and city of fairfield have an interest in preserving this land in open space. obtain permanent easements on land to assure future agricultural use of land. "," "," "," "," ","solano county. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"line f-4 concrete lining (r9-2 ) ","this project will concrete line 5000 feet of channel banks. project includes creation of 3.7 acres of wetlands as environmental mitigation. "," "," "," "," ","city of dublin "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"lower berryessa creek flood protection project ","the district is undertaking this project to plan design and construct a project that will provide protection from the 100-year flood event along lower berryessa creek between the lower penitencia creek confluence and calaveras boulevard in the cit of milpitas. included in this project are improvements to the lower reaches of both calera and tularcitos creeks. these improvements are needed due to the backwater effect on these tributaries. the project includes coordination with the city of milpitas trails master plan district maintenance requirements and the upper berryessa creek project upstream of calaveras boulevard. the length of the project is approximately 2.9 miles. the creek is bordered by residential development on both sides and traverses through the center of milpitas in a highly developed area. major project deliverables include an engineer's report (er); environmental impact report (eir); regulatory permits; and plans specifications and estimates (ps&e) on an alternative for improving the channel to accommodate the 100-year flood event safely. "," "," "," "," ","city of milpitas. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"lower walnut creek restoration ","the lower walnut creek project incorporates a new way of approaching the traditional methods of operating and maintaining a flood control facility. the existing channel is a classic army corps of engineers trapezoidal earth channel that requires ongoing de-silting maintenance. the alternative approach will be to move the channel levees back in the lower reaches to provide additional capacity for floodwaters and to create floodplains. this approach will provide the necessary capacity to handle floodwaters while reducing de-silting costs and creating additional wetlands riparian habitat and revegetation potential. other project components include improving fish passage and habitat and increasing recreational opportunities. "," "," "," "," ","contra costa county "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"marin county benthic macroinvertebrate sampling program ","the marin county stormwater pollution prevention program (mcstoppp) began their benthic macroinvertebrate sampling program (bmi program) in 1999. five years of benthic macroinvertebrate data and physical habitat data have been collected using the california stream bioassessment procedure (csbp) developed by the california department of fish and game and the physical assessment methodology developed by the environmental protection agency. mcstoppp contracted the sustainable land stewardship program (slsi) to collect and analyze bmi program data and mcstoppp will produce an analytical report summarizing the results in 2006. the bmi program includes 30 sites from four major watersheds including arroyo corte madera del presidio in mill valley corte madera creek miller creek and novato creek. data and bmi program information for the first four years of the bmi program can be viewed on the kris website under east marin-sonoma aquatic insects topics at http://www.krisweb.com. biological assessment results help mcstoppp to identify potential stressors to local waterways and to determine whether waterbodies support survival and reproduction of native aquatic species. "," "," "," "," ","arroyo corte madera del presidio mill valley corte madera creek miller creek novato creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"mid coyote ","the mid coyote project is located in the central portion of the coyote watershed. its limits extend approximately 6.1 miles between montague expressway and i-280 all in the city of san jose. the project's primary objective is to enhance the creek's conveyance . additionally the project will improve fisheries and habitat values and provide appropriate public access opportunities in cooperation with the city of san jose. this multi-year study will necessitate preparation of a detailed engineer's report and an environmental impact report to comply with ceqa.this project is part of the districts clean safe creeks & natural flood protection program (program). in november 2000 the voters of santa clara county approved funding for the program (measure b) which includes planning design and partial construction of the mid-coyote project. the funding for this project will be provided exclusively from program revenues through june 2016. it should be emphasized that funding is included for only partial construction the intent being that alternative funding sources will need to be identified to complete the project at the time a preferred project alternative is selected and design estimates are prepared. "," "," "," "," ","city of san jose mid coyote creek "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"mount diablo state park: comprehensive stock pond evaluation and sedimentation remediation ","this project will evaluate between 15 and 20 stock ponds within mount diablo state park (mdsp). these ponds were constructed for ranching operations prior to park acquisition and are experiencing various levels of disrepair. the project will identify and characterize each pond it's condition sustainability sedimentation source potential for dam and pond failure as well as habitat value to support species of special concern such as california red-legged frogs. specific treatment alternatives will be developed for each pond and a prioritization of treatments will be developed based on various criteria. as funding allows ponds will either be repaired and retained or removed to restore hydrologic function. "," "," "," "," ","mount diablo state park "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"beaver pond habitat enhancement project at the dow wetland preserve ","the project is located at the dow wetland preserve in the kirker creek watershed in east contra costa county. the 475-acre preserve provides important tidal and upland marsh habitat for over 120 species of birds amphibians reptiles and mammals in an area dominated by industry. the goal of the beaver pond habitat enhancement project at the dow wetland preserve is to enhance a significant wildlife habitat in the lower kirker creek watershed; improve water quality through increased infiltration; involve a diverse group of volunteers in field-based learning and restoration and increase collaborative partnerships both regionally and within the watershed. the beaver pond project involves planting 20000 plugs of various native species along the western edge of the runoff- and groundwater-fed pond located on the preserve. "," "," "," "," ","dow wetland preserve kirker creek watershed east contra costa county beaver pond "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"kirker creek watershed nursery ","contra costa rcd has been working with partners for the watershed a group of local educators government and industry since 2002 to involve the community and local students in restoration and stewardship projects in the kirker creek watershed. on behalf of the partners the rcd requests funding to create additional opportunities for student and volunteer participation in local watershed activities. funding will provide for volunteers to propagate native plants at a city of pittsburg-owned site for planting at their schools in city landscaping and at a local wetland restoration site. the city of pittsburg is providing office and greenhouse space for a watershed nursery program; dow chemical is providing the restoration site propagation and restoration supplies and the support of their volunteer restoration team and uc berkeley is providing educational instruction and some supplies. the partners request funding for staff who will: 1) coordinate plant propagation activities at the nursery; 2) lead planting and restoration activities; and for services and supplies to support these activities. the ccrcd will work with hired staff local schools and project partners to implement the program. "," "," "," "," ","kirker creek watershed "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
"creek facility inventory ","inventory in gis of all creeks and their facilities - such as levees concrete-lined channels natural channels trails riparian vegetation etc. provides a foundation for flood protection assessment and ecosystem health and restoration potential for all natural waterways. this project ties directly with the statewide (dwr) & national (fema/ corps of engineers) levee inventory which will establish ownership and maintenance responsibility for flood protection facilities. "," "," "," "," ","santa clara valley. "," "," "," "," "," "," ","0","0","0","0","0","0","0","0"
